stationNumber;stationName;province;latitude;longitude;levitation
58102;毫州;安徽;3352;11546;377
58221;蚌埠;安徽;3255;11723;219
58314;霍山;安徽;3124;11619;864
58321;合肥;安徽;3152;11714;279
58424;安庆;安徽;3032;11703;198
54511;北京;北京;3948;11628;313
58834;南平;福建;2639;11810;1256
58847;福州;福建;2605;11917;840
58921;永安;福建;2558;11721;2060
59134;厦门;福建;2429;11804;1394
52418;敦煌;甘肃;4009;9441;11390
52436;玉门镇;甘肃;4016;9702;15260
52533;酒泉;甘肃;3946;9829;14772
52681;民勤;甘肃;3838;10305;13670
52787;乌鞘岭;甘肃;3712;10252;30451
52884;皋兰;甘肃;3621;10356;16685
52889;兰州;甘肃;3603;10353;15172
53915;平凉;甘肃;3533;10640;13466
56080;合作;甘肃;3500;10254;29100
56096;武都;甘肃;3324;10455;10791
57006;天水;甘肃;3435;10545;11417
57014;天水北道区;甘肃;3434;10552;10852
59082;韶关;广东;2441;11336;607
59287;广州;广东;2310;11320;410
59293;东源;广东;2348;11444;708
59316;汕头;广东;2324;11641;29
59501;汕尾;广东;2248;11522;173
59663;阳江;广东;2152;11158;233
57957;桂林;广西;2519;11018;1644
59023;河池;广西;2442;10802;2602
59211;百色;广西;2354;10636;1735
59254;桂平;广西;2324;11005;425
59265;梧州;广西;2329;11118;1148
59417;龙州;广西;2220;10651;1288
59431;南宁;广西;2238;10813;1216
59632;钦州;广西;2157;10837;45
57707;毕节;贵州;2718;10517;15106
57713;遵义;贵州;2742;10653;8439
57816;贵阳;贵州;2635;10644;12238
57902;兴仁;贵州;2526;10511;13785
59758;海口;海南;2000;11015;635
59838;东方;海南;1906;10837;84
59855;琼海;海南;1914;11028;240
53698;石家庄;河北;3802;11425;810
54405;怀来;河北;4024;11530;5368
54423;承德;河北;4059;11757;3859
54539;乐亭;河北;3926;11853;105
54616;沧州;河北;3820;11650;96
54618;泊头;河北;3805;11633;132
53898;安阳;河南;3607;11422;755
57067;卢氏;河南;3403;11102;5688
57083;郑州;河南;3443;11339;1104
57290;驻马店;河南;3300;11401;827
57297;信阳;河南;3208;11403;1145
50353;呼玛;黑龙江;5143;12639;1774
50557;嫩江;黑龙江;4910;12514;2422
50564;孙吴;黑龙江;4926;12721;2345
50658;克山;黑龙江;4803;12553;2346
50745;齐齐哈尔;黑龙江;4723;12355;1459
50756;海伦;黑龙江;4726;12658;2392
50788;富锦;黑龙江;4714;13159;664
50854;安达;黑龙江;4623;12519;1493
50953;哈尔滨;黑龙江;4545;12646;1423
50963;通河;黑龙江;4558;12844;1086
50968;尚志;黑龙江;4513;12758;1897
50978;鸡西;黑龙江;4517;13057;2383
54094;牡丹江;黑龙江;4434;12936;2414
54096;绥芬河;黑龙江;4423;13109;4967
57265;老河口;湖北;3223;11140;900
57447;恩施;湖北;3017;10928;4571
57461;宜昌;湖北;3042;11118;1331
57494;武汉;湖北;3037;11408;231
57662;常德;湖南;2903;11141;350
57679;长沙;湖南;2812;11305;449
57687;长沙;湖南;2813;11255;680
57745;芷江;湖南;2727;10941;2722
57866;零陵;湖南;2614;11137;1726
50949;前郭尔罗斯;吉林;4505;12452;1359
54157;四平;吉林;4311;12420;1642
54161;长春;吉林;4354;12513;2368
54292;延吉;吉林;4252;12930;2573
54374;临江;吉林;4148;12655;3327
58027;徐州;江苏;3417;11709;412
58040;赣榆;江苏;3450;11907;33
58238;南京;江苏;3200;11848;71
58251;东台;江苏;3252;12019;43
57799;吉安;江西;2703;11455;712
57993;赣州;江西;2551;11457;1238
58527;景德镇;江西;2918;11712;615
58606;南昌;江西;2836;11555;467
58715;南城;江西;2735;11639;808
54236;彰武;辽宁;4225;12232;794
54324;朝阳;辽宁;4133;12027;1699
54337;锦州;辽宁;4108;12107;659
54342;沈阳;辽宁;4144;12331;490
54346;本溪;辽宁;4119;12347;1852
54471;营口;辽宁;4039;12210;38
54497;丹东;辽宁;4003;12420;138
54662;大连;辽宁;3854;12138;915
50434;图里河;内蒙古;5029;12141;7326
50527;海拉尔;内蒙古;4913;11945;6102
50632;博克图;内蒙古;4846;12155;7397
50727;阿尔山;内蒙古;4710;11957;10274
50915;东乌珠穆沁旗;内蒙古;4531;11658;8387
52495;巴彦毛道;内蒙古;4010;10448;13239
53068;二连浩特;内蒙古;4339;11158;9647
53192;阿巴嘎旗;内蒙古;4401;11457;11261
53276;朱日和;内蒙古;4224;11254;11508
53336;乌拉特中旗;内蒙古;4134;10831;12880
53352;达尔罕联合旗;内蒙古;4142;11026;13766
53391;化德;内蒙古;4154;11400;14827
53463;呼和浩特;内蒙古;4049;11141;10630
53502;吉兰泰;内蒙古;3947;10545;10318
53529;鄂托克旗;内蒙古;3906;10759;13803
54012;西乌珠穆沁旗;内蒙古;4435;11736;10006
54026;扎鲁特旗;内蒙古;4434;12054;2650
54027;巴林左旗;内蒙古;4359;11924;4844
54102;锡林浩特;内蒙古;4357;11604;9895
54115;林西;内蒙古;4336;11804;7990
54135;通辽;内蒙古;4336;12216;1785
54208;多伦;内蒙古;4211;11628;12454
54218;赤峰;内蒙古;4216;11856;5680
53614;银川;宁夏;3829;10613;11114
53723;盐池;宁夏;3747;10724;13478
52602;冷湖;青海;3845;9320;27700
52713;大柴旦;青海;3751;9522;31732
52754;刚察;青海;3720;10008;83015
52818;格尔木;青海;3625;9454;28076
52836;都兰;青海;3618;9806;31911
52866;西宁;青海;3643;10145;22952
52955;贵南;青海;3535;10045;81200
52957;同德;青海;3516;10039;32894
56004;托托河;青海;3413;9226;45331
56021;曲麻菜;青海;3408;9547;41750
56029;玉树;青海;3301;9701;36812
56033;玛多;青海;3455;9813;42723
56046;达日;青海;3345;9939;39675
54725;惠民县;山东;3730;11731;117
54776;成山头;山东;3724;12241;477
54823;济南;山东;3636;11703;1703
54843;潍坊;山东;3645;11911;222
54906;荷泽;山东;3515;11526;497
54909;定陶;山东;3506;11533;505
54916;兖州;山东;3534;11651;517
53487;大同;山西;4006;11320;10672
53673;原平;山西;3844;11243;8282
53772;太原;山西;3747;11233;7783
53863;介休;山西;3702;11155;7439
53959;运城;山西;3502;11101;3760
53646;榆林;陕西;3814;10942;1575
53845;延安;陕西;3636;10930;9585
57036;西安;陕西;3418;10856;3975
57127;汉中;陕西;3304;10702;5095
57131;泾河;陕西;3426;10858;4100
58362;宝山;上海;3124;12127;55
58367;龙华;上海;3110;12126;26
56146;甘孜;四川;3137;10000;33935
56172;马尔康;四川;3154;10214;26644
56182;松潘;四川;3239;10334;28507
56187;温江;四川;3042;10350;5393
56257;理塘;四川;3000;10016;39489
56294;成都;四川;3040;10401;5061
56462;九龙;四川;2900;10130;79873
56492;宜宾;四川;2848;10436;3408
56571;西昌;四川;2754;10216;15909
56671;会理;四川;2639;10215;17871
57237;万源;四川;3204;10802;6740
57411;南充;四川;3047;10606;3093
54527;天津;天津;3905;11704;25
55591;拉萨;西藏;2940;9108;36487
51076;阿勒泰;新疆;4744;8805;7353
51087;富蕴;新疆;4659;8931;8075
51156;和布克赛尔;新疆;4647;8543;12916
51243;克拉玛依;新疆;4537;8451;4495
51334;精河;新疆;4437;8254;3201
51379;奇台;新疆;4401;8934;7935
51431;伊宁;新疆;4357;8120;6625
51463;乌鲁木齐;新疆;4347;8739;9350
51573;吐鲁番;新疆;4256;8912;345
51644;库车;新疆;4143;8304;10819
51709;喀什;新疆;3928;7559;12887
51716;巴楚;新疆;3948;7834;11165
51747;塔中;新疆;3900;8340;10993
51765;铁干里克;新疆;4038;8742;8460
51777;若羌;新疆;3902;8810;8883
51811;莎车;新疆;3826;7716;12312
51828;和田;新疆;3708;7956;13745
51848;安德河;新疆;3756;8339;12628
52203;哈密;新疆;4249;9331;7372
56444;德钦;云南;2829;9855;33190
56651;丽江;云南;2652;10013;23924
56739;腾冲;云南;2501;9830;16546
56768;楚雄;云南;2501;10132;17720
56778;昆明;云南;2501;10241;18924
56951;临沧;云南;2353;10005;15024
56954;澜沧;云南;2234;9956;10548
56964;思茅;云南;2247;10058;13021
56985;蒙自;云南;2323;10323;13007
58457;杭州;浙江;3014;12010;417
58477;定海;浙江;3002;12206;357
58633;衢州;浙江;2900;11854;824
58659;温州;浙江;2802;12039;283
58752;瑞安;浙江;2747;12039;397
57515;重庆;重庆;2931;10629;3511
57516;沙坪坝;重庆;2935;10628;2591
57633;酉阳;重庆;2850;10846;6641
