stationNumber;stationName;province;latitude;longitude;levitation
58015;砀山;安徽;3426;11620;442
58102;亳州;安徽;3352;11546;377
58122;宿县;安徽;3338;11659;259
58203;阜阳;安徽;3252;11544;327
58215;寿县;安徽;3233;11647;227
58221;蚌埠;安徽;3255;11723;219
58236;滁县;安徽;3218;11818;275
58311;六安;安徽;3145;11630;605
58314;霍山;安徽;3124;11619;864
58319;桐城;安徽;3104;11657;854
58321;合肥;安徽;3147;11718;270
58326;巢湖;安徽;3137;11752;224
58334;芜湖;安徽;3120;11823;148
58338;芜湖县;安徽;3109;11835;211
58424;安庆;安徽;3032;11703;198
58436;宁国;安徽;3037;11859;894
58437;黄山;安徽;3008;11809;18404
58531;屯溪;安徽;2943;11817;1427
54416;密云;北京;4023;11652;718
54511;北京;北京;3948;11628;313
58725;邵武;福建;2720;11728;2180
58726;七仙山;福建;2757;11750;14019
58730;武夷山市;福建;2746;11802;2221
58731;浦城;福建;2755;11832;2769
58734;建阳;福建;2720;11807;1969
58737;建瓯;福建;2703;11819;1549
58754;福鼎;福建;2720;12012;362
58820;泰宁;福建;2654;11710;3429
58834;南平;福建;2639;11810;1256
58846;宁德;福建;2640;11931;324
58847;福州;福建;2605;11917;840
58853;台山;福建;2700;12042;1066
58911;长汀;福建;2551;11622;3100
58918;上杭;福建;2503;11625;1980
58921;永安;福建;2558;11721;2060
58926;漳平;福建;2518;11725;2053
58927;龙岩;福建;2506;11702;3423
58931;九仙山;福建;2543;11806;16535
58933;屏南;福建;2655;11859;8695
58944;平潭;福建;2531;11947;324
59126;漳州;福建;2430;11739;289
59133;崇武;福建;2454;11855;218
59134;厦门;福建;2429;11804;1394
59321;东山;福建;2347;11730;533
52323;马鬃山;甘肃;4148;9702;17704
52418;敦煌;甘肃;4009;9441;11390
52424;安西;甘肃;4032;9546;11709
52436;玉门镇;甘肃;4016;9702;15260
52441;梧桐沟;甘肃;4043;9837;15910
52446;鼎新;甘肃;4018;9931;11774
52447;金塔;甘肃;4000;9854;12705
52533;酒泉;甘肃;3946;9829;14772
52546;高台;甘肃;3922;9950;13322
52652;张掖;甘肃;3856;10026;14827
52661;山丹;甘肃;3848;10105;17646
52674;永昌;甘肃;3814;10158;19769
52679;武威;甘肃;3755;10240;15315
52681;民勤;甘肃;3838;10305;13675
52787;乌鞘岭;甘肃;3712;10252;30451
52788;松山;甘肃;3707;10330;27266
52797;景泰;甘肃;3711;10403;16309
52884;皋兰;甘肃;3621;10356;16685
52889;兰州;甘肃;3603;10353;15172
52895;靖远;甘肃;3634;10441;13982
52983;榆中;甘肃;3552;10409;18744
52984;临夏;甘肃;3535;10311;19172
52986;临洮;甘肃;3521;10351;18938
52993;会宁;甘肃;3541;10505;20122
52996;华家岭;甘肃;3523;10500;24506
53821;环县;甘肃;3635;10718;12556
53915;平凉;甘肃;3533;10640;13466
53923;西峰镇;甘肃;3544;10738;14210
56074;玛曲;甘肃;3400;10205;34714
56075;郎木寺;甘肃;3405;10238;33627
56080;合作;甘肃;3500;10254;29100
56093;岷县;甘肃;3426;10401;23150
56096;武都;甘肃;3324;10455;10791
57006;天水;甘肃;3435;10545;11417
57014;天水北道区;甘肃;3434;10552;10852
57996;南雄;广东;2508;11419;1338
59072;连县;广东;2447;11223;983
59082;韶关;广东;2441;11336;610
59087;佛岗;广东;2352;11332;686
59096;连平;广东;2422;11429;2148
59117;梅县;广东;2416;11606;878
59271;广宁;广东;2338;11226;573
59278;高要;广东;2302;11227;410
59287;广州;广东;2310;11320;410
59293;东源;广东;2348;11444;708
59294;增城;广东;2320;11350;389
59298;惠阳;广东;2305;11425;224
59303;五华;广东;2356;11546;1209
59316;汕头;广东;2324;11641;29
59317;惠来;广东;2302;11618;144
59324;南澳;广东;2326;11702;72
59456;信宜;广东;2221;11056;846
59462;罗定;广东;2246;11134;533
