stationNumber	stationName	province	latitude	longitude	levitation	new_latitude	new_longitude	h_distance
54511	北京	北京	3948	11628	313	39.8	116.466666667	17.2290500581
54518	廊坊	河北	3907	11623	90	39.1166666667	116.383333333	38.977078886
54416	密云	北京	4023	11652	718	40.3833333333	116.866666667	65.8010097205
54308	丰宁	河北	4113	11638	6612	41.2166666667	116.633333333	74.4683611664
54527	天津	天津	3905	11704	25	39.0833333333	117.066666667	92.6083445688
54618	泊头	河北	3805	11633	132	38.0833333333	116.55	93.2020189805
54405	怀来	河北	4024	11530	5368	40.4	115.5	94.1618121123
54616	沧州	河北	3820	11650	96	38.3333333333	116.833333333	96.4686680038
54602	保定	河北	3851	11531	172	38.85	115.516666667	102.419166077
54606	饶阳	河北	3814	11544	190	38.2333333333	115.733333333	103.755335998
